neighborhood,price,bedrooms,bathrooms,house_size,description,neighborhood_description,image_path
Green Oaks,800000,3,2,2000,"Welcome to this eco-friendly oasis nestled in the heart of Green Oaks. This charming 3-bedroom, 2-bathroom home boasts energy-efficient features such as solar panels and a well-insulated structure. Natural light floods the living spaces, highlighting the beautiful hardwood floors and eco-conscious finishes. The open-concept kitchen and dining area lead to a spacious backyard with a vegetable garden, perfect for the eco-conscious family. Embrace sustainable living without compromising on style in this Green Oaks gem.","Green Oaks is a close-knit, environmentally-conscious community with access to organic grocery stores, community gardens, and bike paths. Take a stroll through the nearby Green Oaks Park or grab a cup of coffee at the cozy Green Bean Cafe. With easy access to public transportation and bike lanes, commuting is a breeze.",/home/efigueira/Desktop/udacity-genai-course4-real-state-agent-project/images/property_0.png
Sunset Hills,1200000,4,3,3000,"Luxury living awaits in this stunning 4-bedroom, 3-bathroom home in the prestigious Sunset Hills neighborhood. The spacious layout features high-end finishes, a gourmet kitchen, and a private backyard oasis with a pool and spa. Enjoy panoramic views of the city skyline from the master suite balcony. This is the epitome of modern elegance in Sunset Hills.","Sunset Hills is an upscale community known for its luxury homes, top-rated schools, and exclusive country clubs. Residents enjoy easy access to fine dining, shopping, and entertainment options. Experience the best of suburban living in Sunset Hills.",/home/efigueira/Desktop/udacity-genai-course4-real-state-agent-project/images/property_1.png
Lakeview Terrace,600000,2,2,1800,"Welcome to this charming 2-bedroom, 2-bathroom cottage in the scenic Lakeview Terrace neighborhood. The cozy interior features vaulted ceilings, a stone fireplace, and a sunroom overlooking the tranquil lake. Step outside to the spacious deck and lush backyard, perfect for outdoor entertaining. This is lakeside living at its finest in Lakeview Terrace.","Lakeview Terrace is a peaceful lakeside community known for its picturesque views, nature trails, and water sports activities. Residents can enjoy fishing, boating, and kayaking on the lake, or simply relax and take in the serene surroundings. Experience the beauty of nature in Lakeview Terrace.",/home/efigueira/Desktop/udacity-genai-course4-real-state-agent-project/images/property_2.png
Oakwood Heights,950000,5,4,3500,"Step into luxury in this expansive 5-bedroom, 4-bathroom estate in the prestigious Oakwood Heights neighborhood. The grand foyer leads to a formal living room, gourmet kitchen, and elegant dining room. The outdoor space features a pool, spa, and outdoor kitchen, perfect for hosting gatherings. This is the epitome of sophistication and style in Oakwood Heights.","Oakwood Heights is an exclusive enclave of luxury homes, gated communities, and private estates. The neighborhood offers a serene escape from the hustle and bustle of the city, with tree-lined streets, manicured lawns, and upscale amenities. Discover the ultimate in upscale living in Oakwood Heights.",/home/efigueira/Desktop/udacity-genai-course4-real-state-agent-project/images/property_3.png
Maple Grove,700000,4,3,2500,"Welcome home to this beautifully renovated 4-bedroom, 3-bathroom colonial in the sought-after Maple Grove neighborhood. The open floor plan features a chef's kitchen, spacious living room, and cozy family room with a fireplace. Step outside to the expansive deck and landscaped yard, perfect for outdoor entertaining. This is the perfect blend of classic charm and modern convenience in Maple Grove.","Maple Grove is a family-friendly neighborhood known for its tree-lined streets, top-rated schools, and community events. Residents enjoy easy access to parks, playgrounds, and local shops, creating a close-knit community atmosphere. Experience the best of suburban living in Maple Grove.",/home/efigueira/Desktop/udacity-genai-course4-real-state-agent-project/images/property_4.png
Riverfront Estates,1500000,6,5,4000,"Experience luxury living in this exquisite 6-bedroom, 5-bathroom estate in the exclusive Riverfront Estates neighborhood. The grand foyer leads to a formal dining room, gourmet kitchen, and expansive living room with panoramic river views. The outdoor space features a pool, spa, and outdoor kitchen, perfect for entertaining. This is waterfront living at its finest in Riverfront Estates.","Riverfront Estates is a prestigious waterfront community known for its luxury homes, private boat docks, and scenic river views. Residents can enjoy boating, fishing, and water sports right in their backyard, or simply relax and take in the tranquil waterfront setting. Discover the beauty of riverfront living in Riverfront Estates.",/home/efigueira/Desktop/udacity-genai-course4-real-state-agent-project/images/property_5.png
Hilltop Heights,500000,3,2,2000,"Welcome to this charming 3-bedroom, 2-bathroom ranch in the quiet Hilltop Heights neighborhood. The cozy interior features hardwood floors, a brick fireplace, and a sun-filled breakfast nook. Step outside to the spacious deck and fenced backyard, perfect for outdoor gatherings. This is the perfect place to call home in Hilltop Heights.","Hilltop Heights is a peaceful neighborhood with tree-lined streets, friendly neighbors, and a strong sense of community. Residents enjoy easy access to parks, schools, and local shops, creating a welcoming and family-friendly atmosphere. Experience the warmth and charm of Hilltop Heights.",/home/efigueira/Desktop/udacity-genai-course4-real-state-agent-project/images/property_6.png
Pinecrest Meadows,850000,4,3,2800,"Escape to this serene 4-bedroom, 3-bathroom retreat in the picturesque Pinecrest Meadows neighborhood. The open floor plan features a chef's kitchen, spacious living room, and cozy family room with a stone fireplace. Step outside to the screened porch and landscaped yard, perfect for enjoying the peaceful surroundings. This is the perfect blend of comfort and tranquility in Pinecrest Meadows.","Pinecrest Meadows is a nature lover's paradise with lush greenery, walking trails, and wildlife sightings. Residents can enjoy birdwatching, hiking, and picnicking in the neighborhood parks, or simply relax and take in the beauty of nature. Discover the peace and quiet of Pinecrest Meadows.",/home/efigueira/Desktop/udacity-genai-course4-real-state-agent-project/images/property_7.png
Willow Creek,750000,3,2,2200,"Welcome home to this charming 3-bedroom, 2-bathroom cottage in the quaint Willow Creek neighborhood. The cozy interior features vaulted ceilings, a stone fireplace, and a sunroom overlooking the wooded backyard. Step outside to the deck and landscaped garden, perfect for outdoor relaxation. This is the perfect retreat in Willow Creek.","Willow Creek is a peaceful neighborhood surrounded by nature, with wooded areas, creeks, and wildlife habitats. Residents can enjoy hiking, birdwatching, and outdoor activities in the nearby parks, or simply unwind and enjoy the tranquility of the natural surroundings. Experience the beauty of nature in Willow Creek.",/home/efigueira/Desktop/udacity-genai-course4-real-state-agent-project/images/property_8.png
Meadowbrook Heights,650000,4,3,2400,"Step into luxury in this spacious 4-bedroom, 3-bathroom home in the desirable Meadowbrook Heights neighborhood. The open floor plan features a gourmet kitchen, formal dining room, and sun-filled living room with a fireplace. Step outside to the patio and landscaped yard, perfect for outdoor entertaining. This is the perfect place to call home in Meadowbrook Heights.","Meadowbrook Heights is a family-friendly neighborhood with tree-lined streets, parks, and community events. Residents enjoy easy access to schools, playgrounds, and local shops, creating a welcoming and close-knit community atmosphere. Experience the best of suburban living in Meadowbrook Heights.",/home/efigueira/Desktop/udacity-genai-course4-real-state-agent-project/images/property_9.png
